Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-01-02,299.4064636230469,299.4249140098017,297.24987779194856,298.18072230420165,59151200
2020-01-03,297.1392517089844,298.27285345806166,295.9319327986534,295.9872277009902,77709700
2020-01-06,298.27288818359375,298.3558305467553,295.24994983411784,295.3697648449921,55653900
2020-01-07,297.43414306640625,298.18065228936297,296.9825305807979,297.7013923557038,40496400
2020-01-08,299.0193786621094,300.24511989652194,297.37889751253545,297.6277245862797,68296000
2020-01-09,301.0469665527344,301.12071185388226,300.0055321473559,300.5953820541723,48473300
2020-01-10,300.1805419921875,301.7933753785369,299.7105353878473,301.6367158856176,53029300
2020-01-13,302.2450256347656,302.25422270129854,300.37413979775033,300.80730194354135,47086800
2020-01-14,301.7842102050781,302.86248888986165,301.2220078828355,301.80263246337364,62832800
2020-01-15,302.46624755859375,303.23117922064836,301.60914833921476,301.69209070312985,72056600
2020-01-16,304.9823303222656,304.9823303222656,303.6275485633059,303.8579534330229,54050300
2020-01-17,305.9315490722656,306.14350351863925,304.9177621800766,305.7011442388404,95846000
2020-01-21,305.33245849609375,306.1434879686503,304.8900992387637,304.96381640645586,77742400
2020-01-22,305.3692626953125,306.85308403991667,305.21260320198564,306.19871424247634,48914900
2020-01-23,305.7195129394531,306.1342528171938,303.59057490163264,304.7149514167851,51963000
2020-01-24,303.0007019042969,306.4659987264591,301.701215595986,306.38305638238603,87578400
2020-01-27,298.143798828125,299.63681737007647,297.36964210732,297.7106366970762,84062500
2020-01-28,301.2681579589844,302.15290464553823,298.23602247126104,299.58157882537694,63834000
2020-01-29,301.0193176269531,302.87178158236674,300.81656023817357,302.64137673718955,53888900
2020-01-30,301.9962158203125,302.2081983917871,298.1807264128993,298.9364328893423,75491800
2020-01-31,296.5126037597656,301.5262152765022,295.59098440927124,301.3695276116583,113845600
2020-02-03,298.7152404785156,300.59535170971026,297.88578874067906,298.00560374875556,69083000
2020-02-04,303.2680358886719,304.1435854487345,302.03306943724914,302.3556418080927,62573200
2020-02-05,306.77020263671875,306.98218521194485,304.75188214039383,306.22645059653746,65951100
2020-02-06,307.8023986816406,307.99593084359486,306.71486662143343,307.7378785857936,50359700
2020-02-07,306.1619567871094,307.8116351595351,305.6089795565665,306.73335627928725,64139400
2020-02-10,308.447509765625,308.512029860322,305.2310677300769,305.26794037355893,42070000
2020-02-11,308.9820556640625,310.604086297444,308.44750078868236,309.81150730195765,54864500
2020-02-12,310.9727783203125,311.18473274648915,310.06035614149124,310.42899821472605,43992700
2020-02-13,310.6410217285156,311.6179360079209,309.2585926774035,309.5350672373895,54501900
2020-02-14,311.1386413574219,311.2584563511328,309.8483801281988,311.05569900614165,64582200
2020-02-18,310.33685302734375,311.20317735243003,308.93597379924495,310.1340956719919,57226200
2020-02-19,311.8206481933594,312.5026374261935,311.02806915256156,311.31376886499675,48814700
2020-02-20,310.5396728515625,312.09721191154085,307.525959366879,311.2677319383226,74163400
2020-02-21,307.341552734375,309.48891289803925,306.51207303003326,309.17556577386756,113788200
2020-02-24,297.1484680175781,307.4152910445765,296.06093601109944,297.812034951368,161088400
2020-02-25,288.1441955566406,299.16675171836823,287.2594491278391,298.5492826940522,218913200
2020-02-26,287.0844421386719,293.17633285198843,286.34715787137753,289.554375372259,194773800
2020-02-27,274.1910095214844,287.1397514470199,274.1910095214844,281.51786721889664,284353500
2020-02-28,273.0389404296875,274.54118437564034,263.1591804950905,266.07150083268465,384975800
2020-03-02,284.86322021484375,284.9277402965412,271.3799294191074,274.8360007525772,238703600
2020-03-03,276.7070007324219,289.2410302463077,274.2462926751793,285.2412054098162,300139100
2020-03-04,288.33770751953125,288.5589152054471,279.5546795538468,282.12600444507154,176613400
2020-03-05,278.7528991699219,284.29183884305985,276.4949492983941,281.07539725279673,186366800
2020-03-06,274.1449279785156,275.3614724659235,267.48163700887653,270.17275019249325,228667200
2020-03-09,252.73570251464844,261.9150240206544,252.01684049536348,253.72181391408304,309417300
2020-03-10,265.8134460449219,265.90558547277425,252.0628739638472,262.3297262793299,276444100
2020-03-11,252.85549926757812,259.8413904617814,249.648281576049,258.69859134186584,255316300
2020-03-12,228.66293334960938,245.758971804426,228.26662979295884,235.93450805488294,392220700
2020-03-13,248.21054077148438,250.20124202820583,229.0408546541431,242.46884184873323,329566100
2020-03-16,221.05038452148438,236.76398161055744,218.7555475078594,222.27612575861758,297240000
2020-03-17,232.98533630371094,236.0912025668262,218.48827024202149,225.83356231977604,262070500
2020-03-18,221.1886444091797,228.90259388285534,210.1476485133375,217.73257184028625,327597100
2020-03-19,221.65863037109375,227.99016388468704,214.01841333413591,220.49739523309862,289322000
2020-03-20,212.1064453125,226.63313921694242,211.82833088923726,224.83468197806218,347158800
2020-03-23,206.6832733154297,212.92223974470284,202.3354595916545,211.5409611483181,326025200
2020-03-24,225.40943908691406,226.29013710907319,216.74163631215913,217.31639574094757,235494500
2020-03-25,228.78387451171875,237.64637636448504,222.25752828879652,227.00396190546724,299430300
2020-03-26,242.14251708984375,243.6257563607291,230.87898852158833,231.3146978374292,257632800
2020-03-27,234.9301300048828,241.78094497564413,232.733052958814,234.7910798673419,224341200
2020-03-30,242.55966186523438,243.2827508947583,235.03211240635088,237.04378461879432,171369500
2020-03-31,238.94419860839844,244.1170615366453,237.5258306852523,241.54917480521604,194881100
2020-04-01,228.1905517578125,238.86077537870082,226.10471485273018,229.88703413807121,189554600
2020-04-02,233.4561309814453,234.24410529958328,226.7443664639975,227.30059527896603,177660400
2020-04-03,230.08172607421875,234.83743890147224,227.32842013691277,232.46420806218967,135561200
2020-04-06,245.53543090820312,247.51930709907626,230.0631685002111,239.02763009731478,188061200
2020-04-07,245.78570556640625,254.96338044340118,245.56322539442053,254.20320213449264,201427200
2020-04-08,254.036376953125,255.86264405866083,245.89697948028908,248.4092460711321,153774500
2020-04-09,257.9022216796875,260.6833382544175,255.3713954119301,257.3274338231528,189999200
2020-04-13,255.5474395751953,257.26246648033674,251.60752589977565,256.9194667575025,114839100
2020-04-14,263.0843505859375,264.11335008057443,255.40847040653063,260.47937380524974,134143400
2020-04-15,257.4942932128906,263.2233859194105,255.3620871053566,257.3181535864559,121775000
2020-04-16,258.7365417480469,259.59868106556956,255.6402354670773,258.78288237291076,131798300
2020-04-17,265.7263488769531,266.3381694361595,261.7956861083202,264.5582712274334,146684800
2020-04-20,261.04486083984375,265.8654740739912,260.8223805736763,261.9904302620353,100109300
2020-04-21,253.1186065673828,257.7537991883525,252.17300916648384,256.5393809849361,126385700
2020-04-22,258.7365417480469,260.4979098575712,256.70632445776465,258.04126262920994,92951600
2020-04-23,258.71795654296875,263.22337948595316,258.41204620983535,260.0250845483106,104709700
2020-04-24,262.3240966796875,263.0008449983385,258.18023327607716,260.24753940411455,85063200
2020-04-27,266.1064453125,267.23743364876276,263.85374808000984,264.3172674261671,77896600
2020-04-28,264.8827209472656,270.13901340244826,264.5767823991406,269.7867342456836,105270000
2020-04-29,271.8169860839844,273.3651530287527,269.22128926212724,270.2595679908701,118745600
2020-04-30,269.28619384765625,271.9189801856044,267.53407724153976,270.42643326658214,122901700
2020-05-01,262.15728759765625,269.45307779881864,260.97993031681847,264.4934149877269,125180000
2020-05-04,262.88031005859375,263.1862203107072,258.7642569207057,260.25677530232934,80873200
2020-05-05,265.3092346191406,268.1459710644438,263.0101682261261,265.7264133926765,79569900
2020-05-06,263.5107421875,267.4135670702816,263.07503288056415,267.02422667147306,73632600
2020-05-07,266.69049072265625,268.637277682215,266.18063074583256,266.75539022253605,75250400
2020-05-08,271.1032409667969,271.5760398288929,268.711464913702,269.85173287305935,76452400
2020-05-11,271.15875244140625,272.549310146234,268.7299161768622,269.15634595153807,79514200
2020-05-12,265.75421142578125,272.7718732757444,265.61513298022965,272.3547228120221,95870800
2020-05-13,261.0541076660156,266.2362506852452,258.6067118800236,265.18869241128544,144721100
2020-05-14,264.17816162109375,264.30793229936916,253.07223024231132,258.59740005391626,121977900
2020-05-15,265.392578125,265.4389187331714,260.81300571526515,261.7678542295476,111146300
2020-05-18,273.4764099121094,275.0987275980287,271.3442322698627,271.66867317426636,119703800
2020-05-19,270.6675109863281,274.598146320597,270.64898039566805,272.8738677869339,95189300
2020-05-20,275.2655944824219,276.1370131239572,274.0048354297182,274.2365951047866,85861700
2020-05-21,273.36517333984375,275.95161920552835,272.2619950358447,275.1358206320525,78293900
2020-05-22,273.8843078613281,274.0604474725063,271.8262808752765,273.07778874223595,63958200
2020-05-26,277.2586669921875,280.1417714890313,273.90279208991575,279.90073242169564,88951400
2020-05-27,281.38397216796875,281.42106162646064,275.209892859056,280.07684459306233,104817400
2020-05-28,280.8649597167969,284.45259551675605,280.1882111758794,282.42237818498404,90405200
2020-05-29,282.11639404296875,282.70968403671674,277.6202511667875,280.3920875325999,119090800
2020-06-01,283.2566833496094,283.86853232947044,280.94836587770726,281.46750532286615,55758300
2020-06-02,285.6020202636719,285.64838916514225,282.83946352738207,284.1836524325449,74267200
2020-06-03,289.40301513671875,290.3671435745746,287.3264569237836,287.6045572948075,92567600
2020-06-04,288.6427917480469,290.163148983734,286.5291443822966,288.41103204438576,75794400
2020-06-05,296.04046630859375,297.82964379422856,294.01952920178445,294.08442868554596,150524700
2020-06-08,299.618896484375,299.81356667517116,296.30936178597165,296.8563111826671,73641200
2020-06-09,297.38470458984375,299.693021527893,296.0590179612521,296.93043646215654,77479200
2020-06-10,295.7253112792969,298.86798569042713,295.0022223081212,297.9687571232368,95000800
2020-06-11,278.6770935058594,289.37512815886856,278.12089291169747,288.73546918460613,209243600
2020-06-12,282.01446533203125,286.5291397599619,276.8137912454438,285.7504305631403,194678900
2020-06-15,284.647216796875,285.78748456371153,275.0894502216975,276.276058606375,135782700
2020-06-16,290.1260681152344,292.6105537133195,285.2220530098099,292.4622241036592,137627500
2020-06-17,288.9208984375,291.45172439413864,288.1792504674889,291.1550652061342,83398900
2020-06-18,289.0321350097656,289.5141849661183,286.92776727085004,287.39128663729656,80828700
2020-06-19,287.38037109375,292.72498114215267,285.41569666818003,292.529454251851,135549600
2020-06-22,289.2239685058594,289.62434256442884,285.6205451477816,286.7751227736011,74649400
2020-06-23,290.5553894042969,292.8366400971555,290.1456951703511,291.89620173076145,68471200
2020-06-24,283.1436767578125,289.12146697996565,281.29076098136915,288.4976054005304,132813500
2020-06-25,286.1790771484375,286.4491092815195,280.52718497393687,282.5663353405823,89468000
2020-06-26,279.3819885253906,285.2853025805387,278.79540796201917,285.071135177248,127961000
